,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,ToNextStage,Date
0,Club Brugge,Dortmund,0,1,AwayTeam,Group,-,Tuesday 18 September
1,Monaco,Atlético,1,2,AwayTeam,Group,-,Tuesday 18 September
2,Barcelona,PSV Eindhoven,4,0,HomeTeam,Group,-,Tuesday 18 September
3,Inter,Tottenham,2,1,HomeTeam,Group,-,Tuesday 18 September
4,Liverpool,Paris,3,2,HomeTeam,Group,-,Tuesday 18 September
5,Crvena zvezda,Napoli,0,0,Draw,Group,-,Tuesday 18 September
6,Galatasaray,Lokomotiv Moskva,3,0,HomeTeam,Group,-,Tuesday 18 September
7,Schalke,Porto,1,1,Draw,Group,-,Tuesday 18 September
8,Ajax,AEK Athens,3,0,HomeTeam,Group,-,Wednesday 19 September
9,Benfica,Bayern München,0,2,AwayTeam,Group,-,Wednesday 19 September
10,Shakhtar,Hoffenheim,2,2,Draw,Group,-,Wednesday 19 September
11,Manchester City,Lyon,1,2,AwayTeam,Group,-,Wednesday 19 September
12,Real Madrid,Roma,3,0,HomeTeam,Group,-,Wednesday 19 September
13,Viktoria Plzeň,CSKA Moskva,2,2,Draw,Group,-,Wednesday 19 September
14,Young Boys,Manchester United,0,3,AwayTeam,Group,-,Wednesday 19 September
15,Valencia,Juventus,0,2,AwayTeam,Group,-,Wednesday 19 September
16,Bayern München,Ajax,1,1,Draw,Group,-,Tuesday 2 October
17,AEK Athens,Benfica,2,3,AwayTeam,Group,-,Tuesday 2 October
18,Hoffenheim,Manchester City,1,2,AwayTeam,Group,-,Tuesday 2 October
19,Lyon,Shakhtar,2,2,Draw,Group,-,Tuesday 2 October
20,CSKA Moskva,Real Madrid,1,0,HomeTeam,Group,-,Tuesday 2 October
21,Roma,Viktoria Plzeň,5,0,HomeTeam,Group,-,Tuesday 2 October
22,Juventus,Young Boys,3,0,HomeTeam,Group,-,Tuesday 2 October
23,Manchester United,Valencia,0,0,Draw,Group,-,Tuesday 2 October
24,Atlético,Club Brugge,3,1,HomeTeam,Group,-,Wednesday 3 October
25,Dortmund,Monaco,3,0,HomeTeam,Group,-,Wednesday 3 October
26,Tottenham,Barcelona,2,4,AwayTeam,Group,-,Wednesday 3 October
27,PSV Eindhoven,Inter,1,2,AwayTeam,Group,-,Wednesday 3 October
28,Paris,Crvena zvezda,6,1,HomeTeam,Group,-,Wednesday 3 October
29,Napoli,Liverpool,1,0,HomeTeam,Group,-,Wednesday 3 October
30,Lokomotiv Moskva,Schalke,0,1,AwayTeam,Group,-,Wednesday 3 October
31,Porto,Galatasaray,1,0,HomeTeam,Group,-,Wednesday 3 October
32,AEK Athens,Bayern München,0,2,AwayTeam,Group,-,Tuesday 23 October
33,Ajax,Benfica,1,0,HomeTeam,Group,-,Tuesday 23 October
34,Hoffenheim,Lyon,3,3,Draw,Group,-,Tuesday 23 October
35,Shakhtar,Manchester City,0,3,AwayTeam,Group,-,Tuesday 23 October
36,Roma,CSKA Moskva,3,0,HomeTeam,Group,-,Tuesday 23 October
37,Real Madrid,Viktoria Plzeň,2,1,HomeTeam,Group,-,Tuesday 23 October
38,Young Boys,Valencia,1,1,Draw,Group,-,Tuesday 23 October
39,Manchester United,Juventus,0,1,AwayTeam,Group,-,Tuesday 23 October
40,Club Brugge,Monaco,1,1,Draw,Group,-,Wednesday 24 October
41,Dortmund,Atlético,4,0,HomeTeam,Group,-,Wednesday 24 October
42,PSV Eindhoven,Tottenham,2,2,Draw,Group,-,Wednesday 24 October
43,Barcelona,Inter,2,0,HomeTeam,Group,-,Wednesday 24 October
44,Paris,Napoli,2,2,Draw,Group,-,Wednesday 24 October
45,Liverpool,Crvena zvezda,4,0,HomeTeam,Group,-,Wednesday 24 October
46,Lokomotiv Moskva,Porto,1,3,AwayTeam,Group,-,Wednesday 24 October
47,Galatasaray,Schalke,0,0,Draw,Group,-,Wednesday 24 October
48,Monaco,Club Brugge,0,4,AwayTeam,Group,-,Tuesday 6 November
49,Atlético,Dortmund,2,0,HomeTeam,Group,-,Tuesday 6 November
50,Tottenham,PSV Eindhoven,2,1,HomeTeam,Group,-,Tuesday 6 November
51,Inter,Barcelona,1,1,Draw,Group,-,Tuesday 6 November
52,Crvena zvezda,Liverpool,2,0,HomeTeam,Group,-,Tuesday 6 November
53,Napoli,Paris,1,1,Draw,Group,-,Tuesday 6 November
54,Porto,Lokomotiv Moskva,4,1,HomeTeam,Group,-,Tuesday 6 November
55,Schalke,Galatasaray,2,0,HomeTeam,Group,-,Tuesday 6 November
56,Bayern München,AEK Athens,2,0,HomeTeam,Group,-,Wednesday 7 November
57,Benfica,Ajax,1,1,Draw,Group,-,Wednesday 7 November
58,Lyon,Hoffenheim,2,2,Draw,Group,-,Wednesday 7 November
59,Manchester City,Shakhtar,6,0,HomeTeam,Group,-,Wednesday 7 November
60,CSKA Moskva,Roma,1,2,AwayTeam,Group,-,Wednesday 7 November
61,Viktoria Plzeň,Real Madrid,0,5,AwayTeam,Group,-,Wednesday 7 November
62,Valencia,Young Boys,3,1,HomeTeam,Group,-,Wednesday 7 November
63,Juventus,Manchester United,1,2,AwayTeam,Group,-,Wednesday 7 November
64,AEK Athens,Ajax,0,2,AwayTeam,Group,-,Tuesday 27 November
65,Bayern München,Benfica,5,1,HomeTeam,Group,-,Tuesday 27 November
66,Hoffenheim,Shakhtar,2,3,AwayTeam,Group,-,Tuesday 27 November
67,Lyon,Manchester City,2,2,Draw,Group,-,Tuesday 27 November
68,CSKA Moskva,Viktoria Plzeň,1,2,AwayTeam,Group,-,Tuesday 27 November
69,Roma,Real Madrid,0,2,AwayTeam,Group,-,Tuesday 27 November
70,Manchester United,Young Boys,1,0,HomeTeam,Group,-,Tuesday 27 November
71,Juventus,Valencia,1,0,HomeTeam,Group,-,Tuesday 27 November
72,Atlético,Monaco,2,0,HomeTeam,Group,-,Wednesday 28 November
73,Dortmund,Club Brugge,0,0,Draw,Group,-,Wednesday 28 November
74,PSV Eindhoven,Barcelona,1,2,AwayTeam,Group,-,Wednesday 28 November
75,Tottenham,Inter,1,0,HomeTeam,Group,-,Wednesday 28 November
76,Paris,Liverpool,2,1,HomeTeam,Group,-,Wednesday 28 November
77,Napoli,Crvena zvezda,3,1,HomeTeam,Group,-,Wednesday 28 November
78,Lokomotiv Moskva,Galatasaray,2,0,HomeTeam,Group,-,Wednesday 28 November
79,Porto,Schalke,3,1,HomeTeam,Group,-,Wednesday 28 November
80,Club Brugge,Atlético,0,0,Draw,Group,-,Tuesday 11 December
81,Monaco,Dortmund,0,2,AwayTeam,Group,-,Tuesday 11 December
82,Barcelona,Tottenham,1,1,Draw,Group,-,Tuesday 11 December
83,Inter,PSV Eindhoven,1,1,Draw,Group,-,Tuesday 11 December
84,Liverpool,Napoli,1,0,HomeTeam,Group,-,Tuesday 11 December
85,Crvena zvezda,Paris,1,4,AwayTeam,Group,-,Tuesday 11 December
86,Galatasaray,Porto,2,3,AwayTeam,Group,-,Tuesday 11 December
87,Schalke,Lokomotiv Moskva,1,0,HomeTeam,Group,-,Tuesday 11 December
88,Ajax,Bayern München,3,3,Draw,Group,-,Wednesday 12 December
89,Benfica,AEK Athens,1,0,HomeTeam,Group,-,Wednesday 12 December
90,Shakhtar,Lyon,1,1,Draw,Group,-,Wednesday 12 December
91,Manchester City,Hoffenheim,2,1,HomeTeam,Group,-,Wednesday 12 December
92,Real Madrid,CSKA Moskva,0,3,AwayTeam,Group,-,Wednesday 12 December
93,Viktoria Plzeň,Roma,2,1,HomeTeam,Group,-,Wednesday 12 December
94,Young Boys,Juventus,2,1,HomeTeam,Group,-,Wednesday 12 December
95,Valencia,Manchester United,2,1,HomeTeam,Group,-,Wednesday 12 December
96,Manchester United,Paris,0,2,AwayTeam,RoundOf16,-,Tuesday 12 February
97,Roma,Porto,2,1,HomeTeam,RoundOf16,-,Tuesday 12 February
98,Tottenham Hotspur,Borussia Dortmund,3,0,HomeTeam,RoundOf16,-,Wednesday 13 February
99,Ajax,Real Madrid,1,2,AwayTeam,RoundOf16,-,Wednesday 13 February
100,Lyon,Barcelona,0,0,Draw,RoundOf16,-,Tuesday 19 February
101,Liverpool,Bayern München,0,0,Draw,RoundOf16,-,Tuesday 19 February
102,Schalke,Manchester City,2,3,AwayTeam,RoundOf16,-,Wednesday 20 February
103,Atlético Madrid,Juventus,2,0,HomeTeam,RoundOf16,-,Wednesday 20 February
104,Borussia Dortmund,Tottenham Hotspur,0,1,AwayTeam,RoundOf16,Tottenham Hotspur,Tuesday 5 March
105,Real Madrid,Ajax,1,4,AwayTeam,RoundOf16,Ajax,Tuesday 5 March
106,Paris Saint-Germain,Manchester United,1,3,AwayTeam,RoundOf16,Manchester United,Wednesday 6 March
107,Porto,Roma,3,1,HomeTeam,RoundOf16,Porto,Wednesday 6 March
108,Manchester City,Schalke,7,0,HomeTeam,RoundOf16,Manchester City,Tuesday 12 March
109,Juventus,Atlético Madrid,3,0,HomeTeam,RoundOf16,Juventus,Tuesday 12 March
110,Barcelona,Lyon,5,1,HomeTeam,RoundOf16,Barcelona,Wednesday 13 March
111,Bayern München,Liverpool,1,3,AwayTeam,RoundOf16,Liverpool,Wednesday 13 March
112,Liverpool,Porto,2,0,HomeTeam,QuarterFinal,-,Tuesday 9 April
113,Tottenham,Manchester City,1,0,HomeTeam,QuarterFinal,-,Tuesday 9 April
114,Ajax,Juventus,1,1,Draw,QuarterFinal,-,Wednesday 10 April
115,Manchester United,Barcelona,0,1,AwayTeam,QuarterFinal,-,Wednesday 10 April
116,Barcelona,Manchester United,3,0,HomeTeam,QuarterFinal,Barcelona,Tuesday 16 April
117,Juventus,Ajax,1,2,AwayTeam,QuarterFinal,Ajax,Tuesday 16 April
118,Manchester City,Tottenham,4,3,HomeTeam,QuarterFinal,Tottenham,Wednesday 17 April
119,Porto,Liverpool,1,4,AwayTeam,QuarterFinal,Liverpool,Wednesday 17 April
120,Tottenham,Ajax,0,1,AwayTeam,SemiFinal,-,Tuesday 30 April
121,Barcelona,Liverpool,3,0,HomeTeam,SemiFinal,-,Wednesday 1 May
122,Liverpool,Barcelona,4,0,HomeTeam,SemiFinal,Liverpool,Tuesday 7 May
123,Ajax,Tottenham,2,3,AwayTeam,SemiFinal,Tottenham,Wednesday 8 May
124,Tottenham,Liverpool,0,2,AwayTeam,Final,-,1 June
