,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
0,Doha,Doha,Empty,2005.01.03,"$1,000,000",Roger Federer,Hard,/en/scores/archive/doha/451/2005/results,2005
1,Adelaide,Adelaide,Empty,2005.01.03,"$419,000",Joachim Johansson,Hard,/en/scores/archive/adelaide/7308/2005/results,2005
2,Chennai,Chennai,Empty,2005.01.03,"$380,000",Carlos Moya,Hard,/en/scores/archive/chennai/891/2005/results,2005
3,Auckland,Auckland,Empty,2005.01.10,"$426,000",Fernando Gonzalez,Hard,/en/scores/archive/auckland/301/2005/results,2005
4,Sydney,Sydney,Empty,2005.01.10,"$419,000",Lleyton Hewitt,Hard,/en/scores/archive/sydney/338/2005/results,2005
5,Australian Open,Melbourne,Empty,2005.01.17,"$6,743,444",Marat Safin,Hard,/en/scores/archive/australian-open/580/2005/results,2005
6,Delray Beach,Delray Beach,Empty,2005.01.31,"$380,000",Xavier Malisse,Hard,/en/scores/archive/delray-beach/499/2005/results,2005
7,Milan,Milan,Empty,2005.01.31,"$380,000",Robin Soderling,Carpet,/en/scores/archive/milan/408/2005/results,2005
8,Viña del Mar,Vina Del Mar,Empty,2005.01.31,"$380,000",Gaston Gaudio,Clay,/en/scores/archive/vina-del-mar/505/2005/results,2005
9,Marseille,Marseille,Empty,2005.02.07,"$600,000",Joachim Johansson,Hard,/en/scores/archive/marseille/496/2005/results,2005
10,Buenos Aires,Buenos Aires,Empty,2005.02.07,"$380,000",Gaston Gaudio,Clay,/en/scores/archive/buenos-aires/506/2005/results,2005
11,San Jose,San Jose,Empty,2005.02.07,"$380,000",Andy Roddick,Hard,/en/scores/archive/san-jose/424/2005/results,2005
12,Rotterdam,Rotterdam,Empty,2005.02.14,"$925,000",Roger Federer,Hard,/en/scores/archive/rotterdam/407/2005/results,2005
13,Memphis,Memphis,Empty,2005.02.14,"$690,000",Kenneth Carlsen,Hard,/en/scores/archive/memphis/402/2005/results,2005
14,Costa do Sauipe,Costa do Sauipe,Empty,2005.02.14,"$380,000",Rafael Nadal,Clay,/en/scores/archive/costa-do-sauipe/533/2005/results,2005
15,Dubai,Dubai,Empty,2005.02.21,"$1,000,000",Roger Federer,Hard,/en/scores/archive/dubai/495/2005/results,2005
16,Acapulco,Acapulco,Empty,2005.02.21,"$643,000",Rafael Nadal,Clay,/en/scores/archive/acapulco/807/2005/results,2005
17,Scottsdale,Scottsdale,Empty,2005.02.21,"$380,000",Wayne Arthurs,Hard,/en/scores/archive/scottsdale/433/2005/results,2005
18,ATP Masters 1000 Indian Wells,Indian Wells,Empty,2005.03.07,"$2,974,600",Roger Federer,Hard,/en/scores/archive/indian-wells/404/2005/results,2005
19,ATP Masters 1000 Miami,Miami,Empty,2005.03.21,"$3,450,000",Roger Federer,Hard,/en/scores/archive/miami/403/2005/results,2005
20,Valencia,Valencia,Empty,2005.04.04,"$400,000",Igor Andreev,Clay,/en/scores/archive/valencia/573/2005/results,2005
21,Casablanca,Casablanca,Empty,2005.04.04,"$380,000",Mariano Puerta,Clay,/en/scores/archive/casablanca/360/2005/results,2005
22,ATP Masters 1000 Monte Carlo,Monte Carlo,Empty,2005.04.11,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/monte-carlo/410/2005/results,2005
23,Barcelona,Barcelona,Empty,2005.04.18,"$1,000,000",Rafael Nadal,Clay,/en/scores/archive/barcelona/425/2005/results,2005
24,Houston,Houston,Empty,2005.04.18,"$380,000",Andy Roddick,Clay,/en/scores/archive/houston/717/2005/results,2005
25,Estoril,Estoril,Empty,2005.04.25,"$625,000",Gaston Gaudio,Clay,/en/scores/archive/estoril/468/2005/results,2005
26,Munich,Munich,Empty,2005.04.25,"$380,000",David Nalbandian,Clay,/en/scores/archive/munich/308/2005/results,2005
27,ATP Masters 1000 Rome,Rome,Empty,2005.05.02,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/rome/416/2005/results,2005
28,ATP Masters 1000 Hamburg,Hamburg,Empty,2005.05.09,"$2,450,000",Roger Federer,Clay,/en/scores/archive/hamburg/414/2005/results,2005
29,World Team Championship,Dusseldorf,Empty,2005.05.16,"$1,500,000",Guillermo Coria,Clay,/en/scores/archive/dusseldorf/615/2005/results,2005
30,St. Poelten,St. Poelten,Empty,2005.05.16,"$380,000",Nikolay Davydenko,Clay,/en/scores/archive/st-poelten/306/2005/results,2005
31,Roland Garros,Paris,Empty,2005.05.23,"$7,992,394",Rafael Nadal,Clay,/en/scores/archive/roland-garros/520/2005/results,2005
32,Halle,Halle,Empty,2005.06.06,"$800,000",Roger Federer,Grass,/en/scores/archive/halle/500/2005/results,2005
33,London / Queen's Club,London,Empty,2005.06.06,"$800,000",Andy Roddick,Grass,/en/scores/archive/london/311/2005/results,2005
34,Nottingham,Nottingham,Empty,2005.06.13,"$380,000",Richard Gasquet,Grass,/en/scores/archive/nottingham/741/2005/results,2005
35,'s-Hertogenbosch,s-Hertogenbosch,Empty,2005.06.13,"$380,000",Mario Ancic,Grass,/en/scores/archive/s-hertogenbosch/440/2005/results,2005
36,Wimbledon,London,Empty,2005.06.20,"$8,616,793",Roger Federer,Grass,/en/scores/archive/wimbledon/540/2005/results,2005
37,Gstaad,Gstaad,Empty,2005.07.04,"$495,000",Gaston Gaudio,Clay,/en/scores/archive/gstaad/314/2005/results,2005
38,Bastad,Bastad,Empty,2005.07.04,"$380,000",Rafael Nadal,Clay,/en/scores/archive/bastad/316/2005/results,2005
39,Newport,Newport,Empty,2005.07.04,"$380,000",Greg Rusedski,Grass,/en/scores/archive/newport/315/2005/results,2005
40,Stuttgart,Stuttgart,Empty,2005.07.18,"$719,000",Rafael Nadal,Clay,/en/scores/archive/stuttgart/321/2005/results,2005
41,Indianapolis,Indianapolis,Empty,2005.07.18,"$600,000",Robby Ginepri,Hard,/en/scores/archive/indianapolis/419/2005/results,2005
42,Amersfoort,Amersfoort,Empty,2005.07.18,"$380,000",Fernando Gonzalez,Clay,/en/scores/archive/amersfoort/317/2005/results,2005
43,Kitzbuhel,Kitzbuhel,Empty,2005.07.25,"$760,000",Gaston Gaudio,Clay,/en/scores/archive/kitzbuhel/319/2005/results,2005
44,Umag,Umag,Empty,2005.07.25,"$400,000",Guillermo Coria,Clay,/en/scores/archive/umag/439/2005/results,2005
45,Los Angeles,Los Angeles,Empty,2005.07.25,"$380,000",Andre Agassi,Hard,/en/scores/archive/los-angeles/423/2005/results,2005
46,Washington,Washington,Empty,2005.08.01,"$600,000",Andy Roddick,Hard,/en/scores/archive/washington/418/2005/results,2005
47,Sopot,Sopot,Empty,2005.08.01,"$500,000",Gael Monfils,Clay,/en/scores/archive/sopot/475/2005/results,2005
48,ATP Masters 1000 Canada,Montreal,Empty,2005.08.08,"$2,450,000",Rafael Nadal,Hard,/en/scores/archive/montreal/421/2005/results,2005
49,ATP Masters 1000 Cincinnati,Cincinnati,Empty,2005.08.15,"$2,450,000",Roger Federer,Hard,/en/scores/archive/cincinnati/422/2005/results,2005
50,New Haven,New Haven,Empty,2005.08.22,"$675,000",James Blake,Hard,/en/scores/archive/new-haven/3348/2005/results,2005
51,US Open,New York,Empty,2005.08.29,"$8,200,000",Roger Federer,Hard,/en/scores/archive/us-open/560/2005/results,2005
52,Beijing,Beijing,Empty,2005.09.12,"$500,000",Rafael Nadal,Hard,/en/scores/archive/beijing/747/2005/results,2005
53,Bucharest,Bucharest,Empty,2005.09.12,"$380,000",Florent Serra,Clay,/en/scores/archive/bucharest/773/2005/results,2005
54,Bangkok,Bangkok,Empty,2005.09.26,"$550,000",Roger Federer,Hard,/en/scores/archive/bangkok/1720/2005/results,2005
55,Ho Chi Minh City,Ho Chi Minh City,Empty,2005.09.26,"$380,000",Jonas Bjorkman,Carpet,/en/scores/archive/ho-chi-minh-city/890/2005/results,2005
56,Palermo,Palermo,Empty,2005.09.26,"$380,000",Igor Andreev,Clay,/en/scores/archive/palermo/325/2005/results,2005
57,Tokyo,Tokyo,Empty,2005.10.03,"$765,000",Wesley Moodie,Hard,/en/scores/archive/tokyo/329/2005/results,2005
58,Metz,Metz,Empty,2005.10.03,"$380,000",Ivan Ljubicic,Hard,/en/scores/archive/metz/341/2005/results,2005
59,Moscow,Moscow,Empty,2005.10.10,"$1,000,000",Igor Andreev,Carpet,/en/scores/archive/moscow/438/2005/results,2005
60,Stockholm,Stockholm,Empty,2005.10.10,"$800,000",James Blake,Hard,/en/scores/archive/stockholm/429/2005/results,2005
61,Vienna,Vienna,Empty,2005.10.10,"$689,000",Ivan Ljubicic,Hard,/en/scores/archive/vienna/337/2005/results,2005
62,ATP Masters 1000 Madrid,Madrid,Empty,2005.10.17,"$2,450,000",Rafael Nadal,Hard,/en/scores/archive/madrid/1536/2005/results,2005
63,Basel,Basel,Empty,2005.10.24,"$1,000,000",Fernando Gonzalez,Carpet,/en/scores/archive/basel/328/2005/results,2005
64,St. Petersburg,St. Petersburg,Empty,2005.10.24,"$1,000,000",Thomas Johansson,Carpet,/en/scores/archive/st-petersburg/568/2005/results,2005
65,Lyon,Lyon,Empty,2005.10.24,"$800,000",Andy Roddick,Carpet,/en/scores/archive/lyon/7309/2005/results,2005
66,ATP Masters 1000 Paris,Paris,Empty,2005.10.31,"$2,450,000",Tomas Berdych,Carpet,/en/scores/archive/paris/352/2005/results,2005
67,Tennis Masters Cup,,Empty,2005.11.14,"$3,700,000",David Nalbandian,Carpet,/en/scores/archive/tennis-masters-cup/605/2005/results,2005
68,Doha,Doha,Empty,2006.01.02,"$1,000,000",Roger Federer,Hard,/en/scores/archive/doha/451/2006/results,2006
69,Adelaide,Adelaide,Empty,2006.01.02,"$419,000",Florent Serra,Hard,/en/scores/archive/adelaide/7308/2006/results,2006
70,Chennai,Chennai,Empty,2006.01.02,"$380,000",Ivan Ljubicic,Hard,/en/scores/archive/chennai/891/2006/results,2006
71,Auckland,Auckland,Empty,2006.01.09,"$430,000",Jarkko Nieminen,Hard,/en/scores/archive/auckland/301/2006/results,2006
72,Sydney,Sydney,Empty,2006.01.09,"$419,000",James Blake,Hard,/en/scores/archive/sydney/338/2006/results,2006
73,Australian Open,Melbourne,Empty,2006.01.16,"$6,784,589",Roger Federer,Hard,/en/scores/archive/australian-open/580/2006/results,2006
74,Delray Beach,Delray Beach,Empty,2006.01.30,"$380,000",Tommy Haas,Hard,/en/scores/archive/delray-beach/499/2006/results,2006
75,Viña del Mar,Vina Del Mar,Empty,2006.01.30,"$380,000",Jose Acasuso,Clay,/en/scores/archive/vina-del-mar/505/2006/results,2006
76,Zagreb,Zagreb,Empty,2006.01.30,"$380,000",Ivan Ljubicic,Carpet,/en/scores/archive/zagreb/2276/2006/results,2006
77,Marseille,Marseille,Empty,2006.02.13,"$600,000",Arnaud Clement,Hard,/en/scores/archive/marseille/496/2006/results,2006
78,Buenos Aires,Buenos Aires,Empty,2006.02.13,"$425,000",Carlos Moya,Clay,/en/scores/archive/buenos-aires/506/2006/results,2006
79,San Jose,San Jose,Empty,2006.02.13,"$380,000",Andy Murray,Hard,/en/scores/archive/san-jose/424/2006/results,2006
80,Rotterdam,Rotterdam,Empty,2006.02.20,"$925,000",Radek Stepanek,Hard,/en/scores/archive/rotterdam/407/2006/results,2006
81,Memphis,Memphis,Empty,2006.02.20,"$690,000",Tommy Haas,Hard,/en/scores/archive/memphis/402/2006/results,2006
82,Costa do Sauipe,Costa do Sauipe,Empty,2006.02.20,"$380,000",Nicolas Massu,Clay,/en/scores/archive/costa-do-sauipe/533/2006/results,2006
83,Dubai,Dubai,Empty,2006.02.27,"$1,000,000",Rafael Nadal,Hard,/en/scores/archive/dubai/495/2006/results,2006
84,Acapulco,Acapulco,Empty,2006.02.27,"$690,000",Luis Horna,Clay,/en/scores/archive/acapulco/807/2006/results,2006
85,Las Vegas,Las Vegas,Empty,2006.02.27,"$380,000",James Blake,Hard,/en/scores/archive/las-vegas/433/2006/results,2006
86,ATP Masters 1000 Indian Wells,Indian Wells,Empty,2006.03.06,"$3,169,600",Roger Federer,Hard,/en/scores/archive/indian-wells/404/2006/results,2006
87,ATP Masters 1000 Miami,Miami,Empty,2006.03.20,"$3,450,000",Roger Federer,Hard,/en/scores/archive/miami/403/2006/results,2006
88,Valencia,Valencia,Empty,2006.04.10,"$400,000",Nicolas Almagro,Clay,/en/scores/archive/valencia/573/2006/results,2006
89,Houston,Houston,Empty,2006.04.10,"$380,000",Mardy Fish,Clay,/en/scores/archive/houston/717/2006/results,2006
90,ATP Masters 1000 Monte Carlo,Monte Carlo,Empty,2006.04.17,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/monte-carlo/410/2006/results,2006
91,Barcelona,Barcelona,Empty,2006.04.24,"$1,000,000",Rafael Nadal,Clay,/en/scores/archive/barcelona/425/2006/results,2006
92,Casablanca,Casablanca,Empty,2006.04.24,"$380,000",Daniele Bracciali,Clay,/en/scores/archive/casablanca/360/2006/results,2006
93,Estoril,Estoril,Empty,2006.05.01,"$625,000",David Nalbandian,Clay,/en/scores/archive/estoril/468/2006/results,2006
94,Munich,Munich,Empty,2006.05.01,"$380,000",Olivier Rochus,Clay,/en/scores/archive/munich/308/2006/results,2006
95,ATP Masters 1000 Rome,Rome,Empty,2006.05.08,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/rome/416/2006/results,2006
96,ATP Masters 1000 Hamburg,Hamburg,Empty,2006.05.15,"$2,450,000",Tommy Robredo,Clay,/en/scores/archive/hamburg/414/2006/results,2006
97,World Team Championship,Dusseldorf,Empty,2006.05.22,"$1,764,706",Ivo Karlovic,Clay,/en/scores/archive/dusseldorf/615/2006/results,2006
98,Poertschach,Poertschach,Empty,2006.05.22,"$380,000",Nikolay Davydenko,Clay,/en/scores/archive/poertschach/306/2006/results,2006
99,Roland Garros,Paris,Empty,2006.05.29,"$8,543,691",Rafael Nadal,Clay,/en/scores/archive/roland-garros/520/2006/results,2006
100,Halle,Halle,Empty,2006.06.12,"$800,000",Roger Federer,Grass,/en/scores/archive/halle/500/2006/results,2006
101,London / Queen's Club,London,Empty,2006.06.12,"$800,000",Lleyton Hewitt,Grass,/en/scores/archive/london/311/2006/results,2006
102,Nottingham,Nottingham,Empty,2006.06.19,"$380,000",Richard Gasquet,Grass,/en/scores/archive/nottingham/741/2006/results,2006
103,'s-Hertogenbosch,s-Hertogenbosch,Empty,2006.06.19,"$380,000",Mario Ancic,Grass,/en/scores/archive/s-hertogenbosch/440/2006/results,2006
104,Wimbledon,London,Empty,2006.06.26,"$8,847,338",Roger Federer,Grass,/en/scores/archive/wimbledon/540/2006/results,2006
105,Gstaad,Gstaad,Empty,2006.07.10,"$495,000",Richard Gasquet,Clay,/en/scores/archive/gstaad/314/2006/results,2006
106,Bastad,Bastad,Empty,2006.07.10,"$380,000",Tommy Robredo,Clay,/en/scores/archive/bastad/316/2006/results,2006
107,Newport,Newport,Empty,2006.07.10,"$380,000",Mark Philippoussis,Grass,/en/scores/archive/newport/315/2006/results,2006
108,Stuttgart,Stuttgart,Empty,2006.07.17,"$690,000",David Ferrer,Clay,/en/scores/archive/stuttgart/321/2006/results,2006
109,Indianapolis,Indianapolis,Empty,2006.07.17,"$600,000",James Blake,Hard,/en/scores/archive/indianapolis/419/2006/results,2006
110,Amersfoort,Amersfoort,Empty,2006.07.17,"$380,000",Novak Djokovic,Clay,/en/scores/archive/amersfoort/317/2006/results,2006
111,Kitzbuhel,Kitzbuhel,Empty,2006.07.24,"$760,000",Agustin Calleri,Clay,/en/scores/archive/kitzbuhel/319/2006/results,2006
112,Los Angeles,Los Angeles,Empty,2006.07.24,"$500,000",Tommy Haas,Hard,/en/scores/archive/los-angeles/423/2006/results,2006
113,Umag,Umag,Empty,2006.07.24,"$400,000",Stan Wawrinka,Clay,/en/scores/archive/umag/439/2006/results,2006
114,Washington,Washington,Empty,2006.07.31,"$600,000",Arnaud Clement,Hard,/en/scores/archive/washington/418/2006/results,2006
115,Sopot,Sopot,Empty,2006.07.31,"$500,000",Nikolay Davydenko,Clay,/en/scores/archive/sopot/475/2006/results,2006
116,ATP Masters 1000 Canada,Toronto,Empty,2006.08.07,"$2,450,000",Roger Federer,Hard,/en/scores/archive/toronto/421/2006/results,2006
117,ATP Masters 1000 Cincinnati,Cincinnati,Empty,2006.08.14,"$2,450,000",Andy Roddick,Hard,/en/scores/archive/cincinnati/422/2006/results,2006
118,New Haven,New Haven,Empty,2006.08.21,"$675,000",Nikolay Davydenko,Hard,/en/scores/archive/new-haven/3348/2006/results,2006
119,US Open,New York,Empty,2006.08.28,"$8,332,000",Roger Federer,Hard,/en/scores/archive/us-open/560/2006/results,2006
120,Beijing,Beijing,Empty,2006.09.11,"$500,000",Marcos Baghdatis,Hard,/en/scores/archive/beijing/747/2006/results,2006
121,Bucharest,Bucharest,Empty,2006.09.11,"$380,000",Jurgen Melzer,Clay,/en/scores/archive/bucharest/773/2006/results,2006
122,Bangkok,Bangkok,Empty,2006.09.25,"$550,000",James Blake,Hard,/en/scores/archive/bangkok/1720/2006/results,2006
123,Mumbai,Mumbai,Empty,2006.09.25,"$380,000",Dmitry Tursunov,Hard,/en/scores/archive/mumbai/3465/2006/results,2006
124,Palermo,Palermo,Empty,2006.09.25,"$380,000",Filippo Volandri,Clay,/en/scores/archive/palermo/325/2006/results,2006
125,Tokyo,Tokyo,Empty,2006.10.02,"$765,000",Roger Federer,Hard,/en/scores/archive/tokyo/329/2006/results,2006
126,Metz,Metz,Empty,2006.10.02,"$380,000",Novak Djokovic,Hard,/en/scores/archive/metz/341/2006/results,2006
127,Moscow,Moscow,Empty,2006.10.09,"$1,000,000",Nikolay Davydenko,Carpet,/en/scores/archive/moscow/438/2006/results,2006
128,Stockholm,Stockholm,Empty,2006.10.09,"$800,000",James Blake,Hard,/en/scores/archive/stockholm/429/2006/results,2006
129,Vienna,Vienna,Empty,2006.10.09,"$690,000",Ivan Ljubicic,Hard,/en/scores/archive/vienna/337/2006/results,2006
130,ATP Masters 1000 Madrid,Madrid,Empty,2006.10.16,"$2,450,000",Roger Federer,Hard,/en/scores/archive/madrid/1536/2006/results,2006
131,Basel,Basel,Empty,2006.10.23,"$1,000,000",Roger Federer,Carpet,/en/scores/archive/basel/328/2006/results,2006
132,St. Petersburg,St. Petersburg,Empty,2006.10.23,"$1,000,000",Mario Ancic,Carpet,/en/scores/archive/st-petersburg/568/2006/results,2006
133,Lyon,Lyon,Empty,2006.10.23,"$800,000",Richard Gasquet,Carpet,/en/scores/archive/lyon/7309/2006/results,2006
134,ATP Masters 1000 Paris,Paris,Empty,2006.10.30,"$2,450,000",Nikolay Davydenko,Carpet,/en/scores/archive/paris/352/2006/results,2006
135,Tennis Masters Cup,,Empty,2006.11.13,"$3,700,000",Roger Federer,Hard,/en/scores/archive/tennis-masters-cup/605/2006/results,2006
136,Doha,Doha,Empty,2007.01.01,"$1,000,000",Ivan Ljubicic,Hard,/en/scores/archive/doha/451/2007/results,2007
137,Adelaide,Adelaide,Empty,2007.01.01,"$436,000",Novak Djokovic,Hard,/en/scores/archive/adelaide/7308/2007/results,2007
138,Chennai,Chennai,Empty,2007.01.01,"$416,000",Xavier Malisse,Hard,/en/scores/archive/chennai/891/2007/results,2007
139,Sydney,Sydney,Empty,2007.01.08,"$436,000",James Blake,Hard,/en/scores/archive/sydney/338/2007/results,2007
140,Auckland,Auckland,Empty,2007.01.08,"$416,000",David Ferrer,Hard,/en/scores/archive/auckland/301/2007/results,2007
141,Australian Open,Melbourne,Empty,2007.01.15,"$7,297,052",Roger Federer,Hard,/en/scores/archive/australian-open/580/2007/results,2007
142,Delray Beach,Delray Beach,Empty,2007.01.28,"$416,000",Xavier Malisse,Hard,/en/scores/archive/delray-beach/499/2007/results,2007
143,Viña del Mar,Vina Del Mar,Empty,2007.01.29,"$448,000",Luis Horna,Clay,/en/scores/archive/vina-del-mar/505/2007/results,2007
144,Zagreb,Zagreb,Empty,2007.01.29,"$416,000",Marcos Baghdatis,Carpet,/en/scores/archive/zagreb/2276/2007/results,2007
145,Marseille,Marseille,Empty,2007.02.12,"$600,000",Gilles Simon,Hard,/en/scores/archive/marseille/496/2007/results,2007
146,Costa do Sauipe,Costa do Sauipe,Empty,2007.02.12,"$456,000",Guillermo Canas,Clay,/en/scores/archive/costa-do-sauipe/533/2007/results,2007
147,San Jose,San Jose,Empty,2007.02.12,"$416,000",Andy Murray,Hard,/en/scores/archive/san-jose/424/2007/results,2007
148,Rotterdam,Rotterdam,Empty,2007.02.19,"$925,000",Mikhail Youzhny,Hard,/en/scores/archive/rotterdam/407/2007/results,2007
149,Memphis,Memphis,Empty,2007.02.19,"$757,000",Tommy Haas,Hard,/en/scores/archive/memphis/402/2007/results,2007
150,Buenos Aires,Buenos Aires,Empty,2007.02.19,"$445,000",Juan Monaco,Clay,/en/scores/archive/buenos-aires/506/2007/results,2007
151,Dubai,Dubai,Empty,2007.02.26,"$1,426,250",Roger Federer,Hard,/en/scores/archive/dubai/495/2007/results,2007
152,Acapulco,Acapulco,Empty,2007.02.26,"$757,000",Juan Ignacio Chela,Clay,/en/scores/archive/acapulco/807/2007/results,2007
153,Las Vegas,Las Vegas,Empty,2007.02.26,"$416,000",Lleyton Hewitt,Hard,/en/scores/archive/las-vegas/433/2007/results,2007
154,ATP Masters 1000 Indian Wells,Indian Wells,Empty,2007.03.05,"$3,285,000",Rafael Nadal,Hard,/en/scores/archive/indian-wells/404/2007/results,2007
155,ATP Masters 1000 Miami,Miami,Empty,2007.03.19,"$3,450,000",Novak Djokovic,Hard,/en/scores/archive/miami/403/2007/results,2007
156,Houston,Houston,Empty,2007.04.09,"$416,000",Ivo Karlovic,Clay,/en/scores/archive/houston/717/2007/results,2007
157,Valencia,Valencia,Empty,2007.04.09,"$416,000",Nicolas Almagro,Clay,/en/scores/archive/valencia/573/2007/results,2007
158,ATP Masters 1000 Monte Carlo,Monte Carlo,Empty,2007.04.15,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/monte-carlo/410/2007/results,2007
159,Barcelona,Barcelona,Empty,2007.04.23,"$1,000,000",Rafael Nadal,Clay,/en/scores/archive/barcelona/425/2007/results,2007
160,Casablanca,Casablanca,Empty,2007.04.23,"$416,000",Paul-Henri Mathieu,Clay,/en/scores/archive/casablanca/360/2007/results,2007
161,Estoril,Estoril,Empty,2007.04.29,"$625,000",Novak Djokovic,Clay,/en/scores/archive/estoril/468/2007/results,2007
162,Munich,Munich,Empty,2007.04.30,"$416,000",Philipp Kohlschreiber,Clay,/en/scores/archive/munich/308/2007/results,2007
163,ATP Masters 1000 Rome,Rome,Empty,2007.05.07,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/rome/416/2007/results,2007
164,ATP Masters 1000 Hamburg,Hamburg,Empty,2007.05.14,"$2,450,000",Roger Federer,Clay,/en/scores/archive/hamburg/414/2007/results,2007
165,World Team Championship,Dusseldorf,Empty,2007.05.20,"$1,680,500",Agustin Calleri,Clay,/en/scores/archive/dusseldorf/615/2007/results,2007
166,Poertschach,Poertschach,Empty,2007.05.20,"$416,000",Juan Monaco,Clay,/en/scores/archive/poertschach/306/2007/results,2007
