,Name,URL,Age,Rank
0,Tomas Berdych,/en/players/tomas-berdych/ba47/overview,33,89
1,Gilles Muller,/en/players/gilles-muller/ma30/overview,34,27
2,David Ferrer,/en/players/david-ferrer/f401/overview,35,33
3,Alexandr Dolgopolov,/en/players/alexandr-dolgopolov/d801/overview,29,51
4,Julien Benneteau,/en/players/julien-benneteau/b747/overview,36,58
5,Horacio Zeballos,/en/players/horacio-zeballos/z184/overview,32,66
6,Florian Mayer,/en/players/florian-mayer/mb02/overview,34,72
7,Nicolas Kicker,/en/players/nicolas-kicker/kc29/overview,25,94
8,Mikhail Youzhny,/en/players/mikhail-youzhny/y061/overview,35,95
9,Marcos Baghdatis,/en/players/marcos-baghdatis/b837/overview,31,51
10,Nicolas Almagro,/en/players/nicolas-almagro/a479/overview,31,57
11,Andrey Kuznetsov,/en/players/andrey-kuznetsov/kb54/overview,26,62
12,Carlos Berlocq,/en/players/carlos-berlocq/b884/overview,34,68
13,Juan Monaco,/en/players/juan-monaco/ma21/overview,32,72
14,Radek Stepanek,/en/players/radek-stepanek/s694/overview,38,98
15,Benjamin Becker,/en/players/benjamin-becker/b896/overview,33,40
16,Andreas Haider-Maurer,/en/players/andreas-haider-maurer/h804/overview,27,56
17,Sam Groth,/en/players/sam-groth/g940/overview,27,69
18,Jarkko Nieminen,/en/players/jarkko-nieminen/n289/overview,33,70
19,Marinko Matosevic,/en/players/marinko-matosevic/me05/overview,29,74
20,Ivan Dodig,/en/players/ivan-dodig/d646/overview,30,96
21,Maximo Gonzalez,/en/players/maximo-gonzalez/g585/overview,31,98
22,Farrukh Dustov,/en/players/farrukh-dustov/d551/overview,28,99
23,Paul-Henri Mathieu,/en/players/paul-henri-mathieu/m850/overview,34,62
24,Rajeev Ram,/en/players/rajeev-ram/r548/overview,31,63
25,Tommy Haas,/en/players/tommy-haas/h355/overview,35,12
26,Dmitry Tursunov,/en/players/dmitry-tursunov/t315/overview,31,30
27,Lleyton Hewitt,/en/players/lleyton-hewitt/h432/overview,33,41
28,Edouard Roger-Vasselin,/en/players/edouard-roger-vasselin/r613/overview,30,42
29,Albert Montanes,/en/players/albert-montanes/m824/overview,33,59
30,Nikolay Davydenko,/en/players/nikolay-davydenko/d402/overview,32,73
31,Michal Przysiezny,/en/players/michal-przysiezny/p701/overview,30,74
32,Alejandro Falla,/en/players/alejandro-falla/f444/overview,30,75
33,Somdev Devvarman,/en/players/somdev-devvarman/d616/overview,29,78
34,Filippo Volandri,/en/players/filippo-volandri/v254/overview,32,80
35,Lukasz Kubot,/en/players/lukasz-kubot/k540/overview,31,82
36,Victor Hanescu,/en/players/victor-hanescu/h528/overview,32,87
37,Alex Bogomolov Jr.,/en/players/alex-bogomolov-jr./b842/overview,30,92
38,Mardy Fish,/en/players/mardy-fish/f339/overview,31,32
39,Xavier Malisse,/en/players/xavier-malisse/m680/overview,32,50
40,Brian Baker,/en/players/brian-baker/ba23/overview,27,56
41,Grega Zemlja,/en/players/grega-zemlja/z189/overview,26,61
42,Michael Llodra,/en/players/michael-llodra/l428/overview,32,63
43,Michael Russell,/en/players/michael-russell/r368/overview,34,70
44,Guillaume Rufin,/en/players/guillaume-rufin/ra17/overview,22,89
45,Martin Alund,/en/players/martin-alund/a539/overview,27,90
46,David Nalbandian,/en/players/david-nalbandian/n301/overview,31,93
47,Jan Hajek,/en/players/jan-hajek/h571/overview,29,96
48,Jesse Levine,/en/players/jesse-levine/l799/overview,25,97
49,James Blake,/en/players/james-blake/b676/overview,33,99
50,Ruben Ramirez Hidalgo,/en/players/ruben-ramirez-hidalgo/r383/overview,35,100
51,Robin Soderling,/en/players/robin-soderling/sa49/overview,27,29
52,Andy Roddick,/en/players/andy-roddick/r485/overview,29,31
53,Juan Ignacio Chela,/en/players/juan-ignacio-chela/c514/overview,32,32
54,Ivan Ljubicic,/en/players/ivan-ljubicic/l360/overview,32,40
55,Juan Carlos Ferrero,/en/players/juan-carlos-ferrero/f316/overview,32,48
56,Olivier Rochus,/en/players/olivier-rochus/r397/overview,31,49
57,Philipp Petzschner,/en/players/philipp-petzschner/p624/overview,27,66
58,Potito Starace,/en/players/potito-starace/s843/overview,30,68
59,Ryan Sweeting,/en/players/ryan-sweeting/sg87/overview,24,80
60,Igor Kunitsyn,/en/players/igor-kunitsyn/k403/overview,30,81
61,Flavio Cipolla,/en/players/flavio-cipolla/c723/overview,28,82
62,Rui Machado,/en/players/rui-machado/ma49/overview,27,83
63,Pere Riba,/en/players/pere-riba/r750/overview,23,89
64,Andreas Beck,/en/players/andreas-beck/ba86/overview,26,96
65,Adrian Ungur,/en/players/adrian-ungur/u061/overview,27,98
66,Karol Beck,/en/players/karol-beck/b804/overview,29,99
67,Florent Serra,/en/players/florent-serra/s963/overview,30,73
68,Ricardo Mello,/en/players/ricardo-mello/m708/overview,30,75
69,Michael Berrer,/en/players/michael-berrer/b678/overview,30,78
70,Rainer Schuettler,/en/players/rainer-schuettler/s636/overview,34,83
71,Robert Kendrick,/en/players/robert-kendrick/k448/overview,31,86
72,Brian Dabul,/en/players/brian-dabul/d556/overview,27,88
73,Marcos Daniel,/en/players/marcos-daniel/d339/overview,32,95
74,Igor Andreev,/en/players/igor-andreev/a511/overview,27,96
75,Fernando Gonzalez,/en/players/fernando-gonzalez/g415/overview,29,10
76,Marco Chiudinelli,/en/players/marco-chiudinelli/c582/overview,28,56
77,Evgeny Korolev,/en/players/evgeny-korolev/k760/overview,22,57
78,Simon Greul,/en/players/simon-greul/g511/overview,28,58
79,Marc Gicquel,/en/players/marc-gicquel/g436/overview,32,61
80,Eduardo Schwank,/en/players/eduardo-schwank/se66/overview,23,64
81,Arnaud Clement,/en/players/arnaud-clement/c487/overview,32,72
82,Peter Luczak,/en/players/peter-luczak/l515/overview,30,75
83,Taylor Dent,/en/players/taylor-dent/d362/overview,28,77
84,Oscar Hernandez,/en/players/oscar-hernandez/h472/overview,31,78
85,Santiago Ventura,/en/players/santiago-ventura/v251/overview,30,90
86,Nicolas Massu,/en/players/nicolas-massu/m655/overview,30,92
87,Nicolas Lapentti,/en/players/nicolas-lapentti/l290/overview,33,94
88,Daniel Koellerer,/en/players/daniel-koellerer/k551/overview,26,96
89,Wayne Odesnik,/en/players/wayne-odesnik/o234/overview,24,100
90,Marat Safin,/en/players/marat-safin/s741/overview,29,25
91,Mario Ancic,/en/players/mario-ancic/a385/overview,24,29
92,Nicolas Kiefer,/en/players/nicolas-kiefer/k316/overview,31,32
93,Jose Acasuso,/en/players/jose-acasuso/a389/overview,26,42
94,Carlos Moya,/en/players/carlos-moya/m605/overview,32,45
95,Fabrice Santoro,/en/players/fabrice-santoro/s424/overview,36,51
96,Christophe Rochus,/en/players/christophe-rochus/r336/overview,30,53
97,Martin Vassallo Arguello,/en/players/martin-vassallo-arguello/v258/overview,29,54
98,Nicolas Devilder,/en/players/nicolas-devilder/d469/overview,28,62
99,Jan Hernych,/en/players/jan-hernych/h442/overview,29,63
100,Robby Ginepri,/en/players/robby-ginepri/g569/overview,26,65
101,Bobby Reynolds,/en/players/bobby-reynolds/r483/overview,26,66
102,Diego Junqueira,/en/players/diego-junqueira/j214/overview,28,68
103,Guillermo Canas,/en/players/guillermo-canas/c433/overview,31,71
104,Alberto Martin,/en/players/alberto-martin/m590/overview,30,80
105,Ivan Navarro,/en/players/ivan-navarro/n309/overview,27,83
106,Bjorn Phau,/en/players/bjorn-phau/p436/overview,29,85
107,Agustin Calleri,/en/players/agustin-calleri/c478/overview,32,88
108,Paul Capdeville,/en/players/paul-capdeville/c634/overview,25,91
109,Kristof Vliegen,/en/players/kristof-vliegen/v309/overview,26,99
110,Denis Gremelmayr,/en/players/denis-gremelmayr/g512/overview,27,100
111,Sebastien Grosjean,/en/players/sebastien-grosjean/g379/overview,29,50
112,Hyung-Taik Lee,/en/players/hyung-taik-lee/l311/overview,32,51
113,Stefan Koubek,/en/players/stefan-koubek/k310/overview,31,56
114,Jonas Bjorkman,/en/players/jonas-bjorkman/b446/overview,35,57
115,Thomas Johansson,/en/players/thomas-johansson/j129/overview,32,58
116,Chris Guccione,/en/players/chris-guccione/g621/overview,22,70
117,Vincent Spadea,/en/players/vincent-spadea/s544/overview,33,74
118,Sergio Roitman,/en/players/sergio-roitman/r388/overview,28,77
119,Werner Eschauer,/en/players/werner-eschauer/e141/overview,33,82
120,Frank Dancevic,/en/players/frank-dancevic/d499/overview,23,83
121,Thierry Ascione,/en/players/thierry-ascione/a356/overview,27,86
122,Ivo Minar,/en/players/ivo-minar/ma41/overview,23,89
123,Andrei Pavel,/en/players/andrei-pavel/p280/overview,34,92
124,Luis Horna,/en/players/luis-horna/h390/overview,27,97
125,Dominik Hrbaty,/en/players/dominik-hrbaty/h377/overview,29,25
126,Gaston Gaudio,/en/players/gaston-gaudio/g374/overview,28,41
127,Tim Henman,/en/players/tim-henman/h336/overview,32,44
128,Paradorn Srichaphan,/en/players/paradorn-srichaphan/s675/overview,27,52
129,Max Mirnyi,/en/players/max-mirnyi/m595/overview,29,55
130,Danai Udomchoke,/en/players/danai-udomchoke/u043/overview,25,77
131,Daniele Bracciali,/en/players/daniele-bracciali/b570/overview,29,82
132,Kristian Pless,/en/players/kristian-pless/p491/overview,26,84
133,Alessio Di Mauro,/en/players/alessio-di-mauro/d330/overview,29,86
134,Diego Hartfield,/en/players/diego-hartfield/h502/overview,26,89
135,Amer Delic,/en/players/amer-delic/d438/overview,24,90
136,Paul Goldstein,/en/players/paul-goldstein/g333/overview,30,95
137,Alexander Peya,/en/players/alexander-peya/p467/overview,26,96
138,Guillermo Coria,/en/players/guillermo-coria/c524/overview,24,7
139,Andre Agassi,/en/players/andre-agassi/a092/overview,35,9
140,Greg Rusedski,/en/players/greg-rusedski/r237/overview,32,46
141,Davide Sanguinetti,/en/players/davide-sanguinetti/s480/overview,33,51
142,Boris Pashanski,/en/players/boris-pashanski/p642/overview,23,56
143,Robin Vik,/en/players/robin-vik/v247/overview,26,66
144,Tomas Zib,/en/players/tomas-zib/z074/overview,30,71
145,Wesley Moodie,/en/players/wesley-moodie/m759/overview,27,72
146,Jiri Novak,/en/players/jiri-novak/n254/overview,30,75
147,Lukas Dlouhy,/en/players/lukas-dlouhy/d487/overview,22,77
148,Jimmy Wang,/en/players/jimmy-wang/w373/overview,21,85
149,Flavio Saretta,/en/players/flavio-saretta/s876/overview,25,86
150,Raemon Sluiter,/en/players/raemon-sluiter/s693/overview,27,95
151,Alexander Waske,/en/players/alexander-waske/w300/overview,30,96
152,Justin Gimelstob,/en/players/justin-gimelstob/g354/overview,29,98
153,Juan Antonio Marin,/en/players/juan-antonio-marin/m578/overview,31,99
154,Joachim Johansson,/en/players/joachim-johansson/j194/overview,22,11
155,Cyril Saulnier,/en/players/cyril-saulnier/s681/overview,29,50
156,Mariano Zabaleta,/en/players/mariano-zabaleta/z073/overview,27,51
157,Albert Costa,/en/players/albert-costa/c378/overview,29,55
158,Kenneth Carlsen,/en/players/kenneth-carlsen/c328/overview,31,56
159,Mariano Puerta,/en/players/mariano-puerta/p372/overview,26,60
160,Wayne Arthurs,/en/players/wayne-arthurs/a202/overview,33,63
161,Kevin Kim,/en/players/kevin-kim/k358/overview,26,64
162,Martin Verkerk,/en/players/martin-verkerk/v232/overview,26,71
163,Irakli Labadze,/en/players/irakli-labadze/l439/overview,23,72
164,Peter Wessels,/en/players/peter-wessels/w254/overview,26,76
165,Alex Calatrava,/en/players/alex-calatrava/c361/overview,31,77
166,Sjeng Schalken,/en/players/sjeng-schalken/s572/overview,28,79
167,Sargis Sargsian,/en/players/sargis-sargsian/s545/overview,31,81
168,Felix Mantilla,/en/players/felix-mantilla/m535/overview,30,83
169,Lars Burgsmuller,/en/players/lars-burgsmuller/b484/overview,29,85
170,Gustavo Kuerten,/en/players/gustavo-kuerten/k293/overview,28,86
171,Jerome Haehnel,/en/players/jerome-haehnel/h435/overview,24,87
172,Jiri Vanek,/en/players/jiri-vanek/v207/overview,26,91
173,David Sanchez,/en/players/david-sanchez/s677/overview,26,94
174,Thomas Enqvist,/en/players/thomas-enqvist/e113/overview,30,97
175,Edgardo Massa,/en/players/edgardo-massa/m714/overview,23,100
